shipment_id,customer_id,origin,destination,departure_date,delivery_date,shipping_status,shipping_cost,revenue,seat_class
SHP0001,CUST001,Nairobi,London,03/01/2025,09/01/2025,Delivered,18500,31200,Economy
SHP0002,CUST002,Mombasa,Dubai,05/01/2025,11/01/2025,Delivered,22000,38500,Business
SHP0003,CUST003,Kisumu,Mumbai,08/01/2025,17/01/2025,Delayed,14500,26800,Economy
SHP0004,CUST004,Nakuru,New York,10/01/2025,18/01/2025,Delivered,27500,47200,Business Class
SHP0005,CUST005,Kampala,Nairobi,12/01/2025,15/01/2025,Delivered,8500,14500,Economy
SHP0006,CUST006,Dar es Salaam,Amsterdam,15/01/2025,24/01/2025,Delayed,19000,33100,Economy
SHP0007,CUST007,Addis Ababa,Frankfurt,18/01/2025,25/01/2025,Delivered,24500,42900,Business
SHP0008,CUST008,Lagos,London,20/01/2025,29/01/2025,In Transit,16800,29800,Economy
SHP0009,CUST009,Johannesburg,Dubai,22/01/2025,28/01/2025,Delivered,21000,36700,Economy
SHP0010,CUST010,Dubai,Nairobi,25/01/2025,30/01/2025,Delivered,19500,34200,Business
SHP0011,CUST011,Nairobi,Mumbai,27/01/2025,05/02/2025,Delayed,12500,23100,Economy
SHP0012,CUST012,Mombasa,London,29/01/2025,06/02/2025,Delivered,23500,41500,Business Class
SHP0013,CUST013,Kisumu,Kampala,01/02/2025,05/02/2025,Delivered,7200,12800,Economy
SHP0014,CUST014,Nakuru,Amsterdam,03/02/2025,12/02/2025,Delayed,17200,30600,Economy
SHP0015,CUST015,Kampala,Dubai,05/02/2025,11/02/2025,Delivered,20500,35900,Business
SHP0016,CUST016,Dar es Salaam,New York,07/02/2025,19/02/2025,Delivered,29500,51800,Business Class
SHP0017,CUST017,Addis Ababa,London,10/02/2025,,In Transit,15800,28100,Economy
SHP0018,CUST018,Lagos,Mumbai,12/02/2025,22/02/2025,Delivered,19800,35400,Economy
SHP0019,CUST019,Johannesburg,Frankfurt,15/02/2025,24/02/2025,Delayed,21500,38200,Business
SHP0020,CUST020,Dubai,Amsterdam,18/02/2025,23/02/2025,Delivered,18200,31900,Economy
SHP0021,CUST021,Nairobi,Dubai,20/02/2025,26/02/2025,Delivered,16000,28500,Economy
SHP0022,CUST022,Mombasa,New York,22/02/2025,05/03/2025,Delayed,31000,54500,Business Class
SHP0023,CUST023,Kisumu,London,25/02/2025,03/03/2025,Delivered,17400,30900,Economy
SHP0024,CUST024,Nakuru,Mumbai,27/02/2025,08/03/2025,Delivered,14200,25700,Economy
SHP0025,CUST025,Kampala,Frankfurt,01/03/2025,10/03/2025,Delivered,22800,40100,Business
SHP0026,CUST026,Dar es Salaam,Nairobi,03/03/2025,07/03/2025,Cancelled,9100,0,Economy
SHP0027,CUST027,Addis Ababa,Dubai,05/03/2025,12/03/2025,Delivered,18700,32900,Economy
SHP0028,CUST028,Lagos,Amsterdam,07/03/2025,17/03/2025,Delayed,20400,36100,Business
SHP0029,CUST029,Johannesburg,London,10/03/2025,18/03/2025,Delivered,22100,38900,Economy
SHP0030,CUST030,Dubai,Mumbai,12/03/2025,17/03/2025,Delivered,15500,27800,Economy
SHP0031,CUST031,Nairobi,Frankfurt,15/03/2025,23/03/2025,Delivered,23800,41900,Business
SHP0032,CUST032,Mombasa,Dubai,18/03/2025,,Lost,17500,0,Economy
SHP0033,CUST033,Kisumu,New York,20/03/2025,01/04/2025,Delayed,30500,53200,Business Class
SHP0034,CUST034,Nakuru,London,22/03/2025,30/03/2025,Delivered,19500,34700,Economy
SHP0035,CUST035,Kampala,Amsterdam,25/03/2025,03/04/2025,Delivered,18400,32600,Economy
SHP0036,CUST036,Dar es Salaam,Mumbai,27/03/2025,07/04/2025,Delayed,17200,30900,Business
SHP0037,CUST037,Addis Ababa,Nairobi,29/03/2025,02/04/2025,Delivered,7800,13900,Economy
SHP0038,CUST038,Lagos,Dubai,01/04/2025,08/04/2025,Delivered,21100,37200,Business
SHP0039,CUST039,Johannesburg,New York,03/04/2025,,In Transit,28700,50100,Business Class
SHP0040,CUST040,Dubai,London,05/04/2025,12/04/2025,Delivered,20300,35800,Economy
SHP0041,CUST041,Nairobi,Amsterdam,08/04/2025,17/04/2025,Delayed,18900,33700,Economy
SHP0042,CUST042,Mombasa,Frankfurt,10/04/2025,19/04/2025,Delivered,22600,39800,Business
SHP0043,CUST043,Kisumu,Dubai,12/04/2025,18/04/2025,Delivered,15800,28100,Economy
SHP0044,CUST044,Nakuru,Nairobi,15/04/2025,19/04/2025,Delivered,6800,11900,Economy
SHP0045,CUST045,Kampala,London,17/04/2025,28/04/2025,Delayed,21800,38500,Business Class
SHP0046,CUST046,Dar es Salaam,Amsterdam,20/04/2025,29/04/2025,Delivered,19100,33800,Economy
SHP0047,CUST047,Addis Ababa,Mumbai,22/04/2025,01/05/2025,Delivered,17900,31700,Economy
SHP0048,CUST048,Lagos,Frankfurt,25/04/2025,05/05/2025,Delayed,23400,41200,Business
SHP0049,CUST049,Johannesburg,Dubai,27/04/2025,03/05/2025,Delivered,20500,36100,Economy
SHP0050,CUST050,Dubai,New York,29/04/2025,11/05/2025,Delivered,32000,56800,Business Class
SHP0051,CUST001,Nairobi,London,02/05/2025,10/05/2025,Delivered,19200,34100,Economy
SHP0052,CUST002,Mombasa,Mumbai,04/05/2025,14/05/2025,Delayed,16100,28900,Economy
SHP0053,CUST003,Kisumu,Dubai,06/05/2025,12/05/2025,Delivered,14900,26400,Economy
SHP0054,CUST004,Nakuru,Frankfurt,08/05/2025,18/05/2025,Delivered,23900,42100,Business
SHP0055,CUST005,Kampala,New York,10/05/2025,23/05/2025,Delayed,29800,52400,Business Class
SHP0056,CUST006,Dar es Salaam,London,13/05/2025,21/05/2025,Delivered,20100,35500,Economy
SHP0057,CUST007,Addis Ababa,Amsterdam,15/05/2025,24/05/2025,Delivered,18800,33300,Economy
SHP0058,CUST008,Lagos,Nairobi,17/05/2025,21/05/2025,Delivered,8200,14600,Economy
SHP0059,CUST009,Johannesburg,Mumbai,20/05/2025,30/05/2025,Delayed,21300,37900,Business
SHP0060,CUST010,Dubai,Frankfurt,22/05/2025,31/05/2025,Delivered,23100,40700,Economy
SHP0061,CUST011,Nairobi,Dubai,25/05/2025,01/06/2025,Delivered,16700,29800,Economy
SHP0062,CUST012,Mombasa,London,27/05/2025,05/06/2025,Delivered,22600,40100,Business
SHP0063,CUST013,Kisumu,Amsterdam,29/05/2025,08/06/2025,Delayed,18300,32600,Economy
SHP0064,CUST014,Nakuru,Mumbai,01/06/2025,11/06/2025,Delivered,15700,27900,Economy
SHP0065,CUST015,Kampala,Dubai,03/06/2025,09/06/2025,Delivered,19800,35100,Business Class
SHP0066,CUST016,Dar es Salaam,New York,05/06/2025,18/06/2025,Delayed,30200,53100,Business Class
SHP0067,CUST017,Addis Ababa,London,08/06/2025,,In Transit,16200,28700,Economy
SHP0068,CUST018,Lagos,Frankfurt,10/06/2025,20/06/2025,Delivered,21800,38500,Business
SHP0069,CUST019,Johannesburg,Amsterdam,12/06/2025,21/06/2025,Delivered,20600,36400,Economy
SHP0070,CUST020,Dubai,Nairobi,15/06/2025,19/06/2025,Delivered,9300,16500,Economy
SHP0071,CUST021,Nairobi,Mumbai,17/06/2025,27/06/2025,Delayed,14600,26200,Economy
SHP0072,CUST022,Mombasa,New York,19/06/2025,02/07/2025,Delivered,31500,55800,Business Class
SHP0073,CUST023,Kisumu,London,22/06/2025,30/06/2025,Delivered,18100,32100,Economy
SHP0074,CUST024,Nakuru,Dubai,24/06/2025,01/07/2025,Delivered,15500,27500,Economy
SHP0075,CUST025,Kampala,Amsterdam,26/06/2025,05/07/2025,Delayed,19400,34400,Business
SHP0076,CUST026,Dar es Salaam,Nairobi,28/06/2025,30/06/2025,Cancelled,8700,0,Economy
SHP0077,CUST027,Addis Ababa,Frankfurt,01/07/2025,10/07/2025,Delivered,24100,42500,Business
SHP0078,CUST028,Lagos,London,03/07/2025,12/07/2025,Delayed,19900,35300,Economy
SHP0079,CUST029,Johannesburg,Dubai,05/07/2025,11/07/2025,Delivered,20700,36700,Economy
SHP0080,CUST030,Dubai,Mumbai,08/07/2025,14/07/2025,Delivered,15900,28300,Business
SHP0081,CUST031,Nairobi,Frankfurt,10/07/2025,20/07/2025,Delivered,23700,41800,Economy
SHP0082,CUST032,Mombasa,Dubai,12/07/2025,,Lost,16900,0,Economy
SHP0083,CUST033,Kisumu,New York,15/07/2025,28/07/2025,Delayed,30800,53900,Business Class
SHP0084,CUST034,Nakuru,London,17/07/2025,25/07/2025,Delivered,19600,34800,Economy
SHP0085,CUST035,Kampala,Amsterdam,19/07/2025,29/07/2025,Delivered,18600,32900,Economy
SHP0086,CUST036,Dar es Salaam,Mumbai,22/07/2025,01/08/2025,Delayed,17400,31200,Business
SHP0087,CUST037,Addis Ababa,Nairobi,24/07/2025,28/07/2025,Delivered,7600,13500,Economy
SHP0088,CUST038,Lagos,Dubai,26/07/2025,02/08/2025,Delivered,21300,37600,Business
SHP0089,CUST039,Johannesburg,New York,29/07/2025,,In Transit,29100,50900,Business Class
SHP0090,CUST040,Dubai,London,01/08/2025,09/08/2025,Delivered,20500,36100,Economy
SHP0091,CUST041,Nairobi,Amsterdam,03/08/2025,13/08/2025,Delayed,19100,34100,Economy
SHP0092,CUST042,Mombasa,Frankfurt,05/08/2025,14/08/2025,Delivered,22900,40400,Business
SHP0093,CUST043,Kisumu,Dubai,07/08/2025,13/08/2025,Delivered,15700,27900,Economy
SHP0094,CUST044,Nakuru,Nairobi,10/08/2025,14/08/2025,Delivered,6900,12100,Economy
SHP0095,CUST045,Kampala,London,12/08/2025,24/08/2025,Delayed,22100,39100,Business Class
SHP0096,CUST046,Dar es Salaam,Amsterdam,15/08/2025,24/08/2025,Delivered,19300,34200,Economy
SHP0097,CUST047,Addis Ababa,Mumbai,17/08/2025,27/08/2025,Delivered,18100,32100,Economy
SHP0098,CUST048,Lagos,Frankfurt,19/08/2025,29/08/2025,Delayed,23600,41600,Business
SHP0099,CUST049,Johannesburg,Dubai,21/08/2025,27/08/2025,Delivered,20800,36800,Economy
SHP0100,CUST050,Dubai,New York,24/08/2025,,In Transit,31800,56200,Business Class
SHP0101,CUST001,Nairobi,London,26/08/2025,03/09/2025,Delivered,18700,32900,Economy
SHP0102,CUST002,Mombasa,Mumbai,28/08/2025,07/09/2025,Delayed,16400,29200,Economy
SHP0103,CUST003,Kisumu,Dubai,30/08/2025,05/09/2025,Delivered,15100,26900,Economy
SHP0104,CUST004,Nakuru,Frankfurt,01/09/2025,11/09/2025,Delivered,24200,42700,Business
SHP0105,CUST005,Kampala,New York,03/09/2025,16/09/2025,Delayed,30100,52900,Business Class
SHP0106,CUST006,Dar es Salaam,London,05/09/2025,13/09/2025,Delivered,20300,35900,Economy
SHP0107,CUST007,Addis Ababa,Amsterdam,07/09/2025,16/09/2025,Delivered,19000,33700,Economy
SHP0108,CUST008,Lagos,Nairobi,10/09/2025,14/09/2025,Delivered,8400,14900,Economy
SHP0109,CUST009,Johannesburg,Mumbai,12/09/2025,23/09/2025,Delayed,21600,38400,Business
SHP0110,CUST010,Dubai,Frankfurt,14/09/2025,24/09/2025,Delivered,23300,41100,Economy
SHP0111,CUST011,Nairobi,Dubai,17/09/2025,24/09/2025,Delivered,16900,30100,Economy
SHP0112,CUST012,Mombasa,London,19/09/2025,28/09/2025,Delivered,22900,40600,Business
SHP0113,CUST013,Kisumu,Amsterdam,21/09/2025,01/10/2025,Delayed,18500,33000,Economy
SHP0114,CUST014,Nakuru,Mumbai,24/09/2025,04/10/2025,Delivered,15900,28300,Economy
SHP0115,CUST015,Kampala,Dubai,26/09/2025,02/10/2025,Delivered,20100,35600,Business Class
SHP0116,CUST016,Dar es Salaam,New York,28/09/2025,11/10/2025,Delayed,30500,53600,Business Class
SHP0117,CUST017,Addis Ababa,London,01/10/2025,,In Transit,16400,29100,Economy
SHP0118,CUST018,Lagos,Frankfurt,03/10/2025,13/10/2025,Delivered,22000,38900,Business
SHP0119,CUST019,Johannesburg,Amsterdam,05/10/2025,14/10/2025,Delivered,20900,36900,Economy
SHP0120,CUST020,Dubai,Nairobi,08/10/2025,12/10/2025,Delivered,9500,16800,Economy
SHP0121,CUST021,Nairobi,Mumbai,10/10/2025,20/10/2025,Delayed,14800,26500,Economy
SHP0122,CUST022,Mombasa,New York,12/10/2025,25/10/2025,Delivered,31700,56200,Business Class
SHP0123,CUST023,Kisumu,London,15/10/2025,23/10/2025,Delivered,18300,32400,Economy
SHP0124,CUST024,Nakuru,Dubai,17/10/2025,24/10/2025,Delivered,15700,27900,Economy
SHP0125,CUST025,Kampala,Amsterdam,19/10/2025,29/10/2025,Delayed,19700,34900,Business
SHP0126,CUST026,Dar es Salaam,Nairobi,22/10/2025,24/10/2025,Cancelled,8900,0,Economy
SHP0127,CUST027,Addis Ababa,Frankfurt,24/10/2025,02/11/2025,Delivered,24300,42900,Business
SHP0128,CUST028,Lagos,London,26/10/2025,05/11/2025,Delayed,20100,35700,Economy
SHP0129,CUST029,Johannesburg,Dubai,28/10/2025,04/11/2025,Delivered,21000,37200,Economy
SHP0130,CUST030,Dubai,Mumbai,30/10/2025,05/11/2025,Delivered,16100,28600,Business
SHP0131,CUST031,Nairobi,Frankfurt,02/11/2025,12/11/2025,Delivered,23900,42300,Economy
SHP0132,CUST032,Mombasa,Dubai,04/11/2025,,Lost,17100,0,Economy
SHP0133,CUST033,Kisumu,New York,06/11/2025,19/11/2025,Delayed,31100,54500,Business Class
SHP0134,CUST034,Nakuru,London,08/11/2025,16/11/2025,Delivered,19800,35100,Economy
SHP0135,CUST035,Kampala,Amsterdam,10/11/2025,20/11/2025,Delivered,18800,33300,Economy
SHP0136,CUST036,Dar es Salaam,Mumbai,12/11/2025,23/11/2025,Delayed,17600,31500,Business
SHP0137,CUST037,Addis Ababa,Nairobi,15/11/2025,19/11/2025,Delivered,7800,13900,Economy
SHP0138,CUST038,Lagos,Dubai,17/11/2025,24/11/2025,Delivered,21500,37900,Business
SHP0139,CUST039,Johannesburg,New York,20/11/2025,,In Transit,29400,51500,Business Class
SHP0140,CUST040,Dubai,London,22/11/2025,30/11/2025,Delivered,20700,36500,Economy
SHP0141,CUST041,Nairobi,Amsterdam,24/11/2025,04/12/2025,Delayed,19300,34400,Economy
SHP0142,CUST042,Mombasa,Frankfurt,26/11/2025,05/12/2025,Delivered,23200,41000,Business
SHP0143,CUST043,Kisumu,Dubai,28/11/2025,04/12/2025,Delivered,15900,28300,Economy
SHP0144,CUST044,Nakuru,Nairobi,01/12/2025,05/12/2025,Delivered,7100,12500,Economy
SHP0145,CUST045,Kampala,London,03/12/2025,15/12/2025,Delayed,22400,39600,Business Class
SHP0146,CUST046,Dar es Salaam,Amsterdam,06/12/2025,15/12/2025,Delivered,19500,34600,Economy
SHP0147,CUST047,Addis Ababa,Mumbai,08/12/2025,18/12/2025,Delivered,18300,32400,Economy
SHP0148,CUST048,Lagos,Frankfurt,10/12/2025,20/12/2025,Delayed,23900,42100,Business
SHP0149,CUST049,Johannesburg,Dubai,12/12/2025,18/12/2025,Delivered,21100,37400,Economy
SHP0150,CUST050,Dubai,New York,15/12/2025,28/12/2025,Delivered,32100,56900,Business Class
